distance_km,traffic_level,weather,hour,delivery_time
7.05,medium,clear,7,44.27
1.18,low,clear,4,10.0
1.94,high,cloudy,2,17.8
8.2,medium,clear,2,47.49
2.61,medium,cloudy,12,18.64
6.87,medium,clear,1,37.05
3.14,high,clear,23,20.73
1.89,high,cloudy,0,15.12
3.19,medium,clear,11,16.88
7.5,medium,rain,7,60.39
8.7,medium,clear,18,50.46
8.47,medium,cloudy,8,55.94
4.57,low,clear,13,19.75
7.01,medium,cloudy,17,43.46
2.84,low,clear,9,12.08
3.64,high,clear,8,26.31
9.07,low,clear,5,38.95
1.12,high,clear,0,10.0
1.77,medium,clear,4,10.49
2.87,medium,clear,9,15.65
1.24,medium,clear,12,10.0
2.63,low,cloudy,21,10.12
6.25,low,cloudy,22,29.85
4.79,low,cloudy,3,27.34
9.03,medium,clear,0,50.95
8.36,medium,clear,20,48.43
4.08,high,clear,1,28.78
3.33,low,cloudy,23,13.79
4.42,low,clear,3,22.98
6.31,medium,clear,16,37.26
3.41,high,cloudy,9,28.96
6.62,medium,clear,22,35.33
4.68,medium,rain,11,39.05
5.97,medium,rain,1,51.21
4.93,low,clear,2,24.48
3.65,high,clear,13,29.26
9.54,medium,clear,14,53.55
7.87,low,cloudy,12,39.58
2.26,medium,clear,8,14.56
8.82,low,cloudy,1,40.07
5.39,high,clear,18,38.99
9.05,low,clear,15,42.5
8.2,medium,clear,10,49.72
4.83,low,cloudy,11,20.81
1.2,medium,clear,0,10.0
3.42,high,cloudy,1,28.97
5.87,medium,clear,15,35.9
6.7,medium,clear,1,37.93
3.32,high,rain,18,36.85
2.25,low,rain,9,15.86
8.51,low,clear,18,37.59
9.86,low,clear,9,44.41
5.73,high,cloudy,15,46.92
2.55,low,clear,12,14.78
3.45,medium,clear,15,19.94
1.17,medium,rain,17,10.0
9.23,low,clear,23,40.1
2.06,low,clear,7,10.0
6.19,low,clear,23,29.36
3.47,medium,cloudy,17,19.66
5.99,low,cloudy,12,33.35
6.86,low,clear,6,31.49
8.47,high,clear,20,65.73
2.86,high,clear,22,21.68
1.1,low,cloudy,23,10.0
2.23,low,clear,17,10.0
9.1,low,rain,5,59.37
8.87,medium,clear,8,51.87
6.38,high,rain,5,69.86
6.4,low,clear,17,27.93
6.99,low,cloudy,16,34.99
2.58,high,clear,11,18.13
9.23,medium,clear,2,56.43
4.77,low,rain,4,28.38
4.45,medium,rain,6,35.8
5.67,low,clear,9,24.89
1.42,low,cloudy,9,10.0
2.5,high,clear,18,20.57
7.64,high,rain,3,81.19
1.75,medium,clear,9,13.03
6.43,high,clear,17,47.55
3.21,medium,clear,2,19.12
4.5,high,clear,20,32.87
3.6,medium,rain,2,30.33
4.2,high,clear,4,32.1
7.47,high,clear,15,56.84
3.67,low,clear,19,18.89
6.1,high,cloudy,12,50.02
5.28,high,clear,10,41.57
6.97,high,clear,12,51.78
9.43,low,rain,18,59.63
7.59,high,clear,5,55.67
2.93,high,cloudy,23,23.33
1.28,low,cloudy,12,10.0
3.36,high,clear,3,29.33
6.36,low,rain,21,40.27
1.46,low,cloudy,4,10.54
5.47,medium,clear,18,32.44
6.37,medium,clear,4,36.49
4.01,medium,cloudy,20,28.88
7.94,low,clear,13,36.6
1.96,high,rain,3,19.71
1.68,low,clear,11,10.0
7.55,low,clear,5,33.39
5.46,low,clear,18,20.59
7.2,medium,clear,9,43.99
4.91,high,clear,0,39.75
3.22,medium,rain,22,30.05
8.37,high,cloudy,22,71.28
8.19,low,cloudy,15,40.04
7.25,medium,cloudy,3,48.32
3.45,medium,cloudy,8,23.9
6.31,medium,clear,17,40.19
4.25,low,rain,16,26.69
1.82,medium,clear,14,10.32
9.26,medium,rain,18,74.41
2.23,high,cloudy,6,19.84
9.55,medium,clear,17,52.77
5.01,low,clear,5,24.1
2.67,medium,clear,18,16.8
5.88,low,clear,20,27.63
8.86,high,clear,11,68.06
7.59,medium,clear,2,47.47
8.26,low,clear,0,38.91
6.93,high,rain,4,73.01
7.23,medium,cloudy,0,45.35
8.64,low,rain,7,52.67
3.25,medium,cloudy,6,22.02
5.4,low,clear,14,22.3
2.99,high,clear,10,25.04
9.89,high,cloudy,17,85.87
9.5,high,rain,13,99.99
1.35,medium,clear,8,10.0
7.35,medium,rain,4,60.23
9.33,high,rain,22,101.69
2.63,low,cloudy,3,16.24
6.11,medium,rain,11,46.67
9.24,medium,clear,0,53.42
1.31,low,rain,23,10.0
7.28,medium,cloudy,12,44.05
3.68,high,clear,0,27.18
9.32,high,rain,2,100.67
9.74,low,clear,21,43.27
9.5,low,clear,7,39.66
5.27,low,clear,23,29.46
8.76,high,clear,17,67.55
8.6,low,clear,15,38.92
3.87,medium,cloudy,19,22.71
8.46,low,clear,19,38.59
1.33,medium,clear,15,10.0
6.37,low,clear,1,24.89
3.07,high,clear,16,21.34
2.09,low,cloudy,9,11.94
1.69,medium,cloudy,6,14.76
7.27,low,rain,9,46.54
4.06,medium,cloudy,18,28.33
7.52,high,clear,19,57.22
1.59,low,rain,8,10.0
3.84,high,cloudy,21,34.5
5.86,medium,clear,16,37.61
8.12,low,cloudy,8,42.8
3.87,medium,rain,8,29.56
6.63,low,cloudy,4,32.68
8.97,medium,clear,23,53.03
6.54,high,cloudy,6,54.51
3.1,low,clear,10,14.73
1.22,medium,clear,7,10.0
8.83,high,clear,13,69.56
1.19,high,clear,1,12.48
8.87,medium,clear,9,51.23
5.76,high,clear,20,41.34
9.45,medium,cloudy,23,61.53
8.19,low,cloudy,15,44.31
9.98,high,rain,15,105.93
4.16,medium,clear,18,25.71
7.9,medium,clear,10,47.61
4.62,medium,rain,5,38.22
5.32,high,clear,5,40.71
6.65,high,cloudy,6,54.11
8.86,medium,cloudy,15,52.45
9.86,low,clear,12,42.15
7.91,medium,rain,2,64.0
4.76,medium,cloudy,23,32.83
4.79,low,clear,23,21.35
7.64,high,clear,8,57.41
3.15,medium,clear,23,16.65
1.99,low,clear,2,10.27
4.19,low,clear,5,21.57
3.59,low,clear,16,18.28
3.67,high,clear,2,29.29
3.1,low,rain,1,16.58
1.38,low,clear,11,10.0
1.16,medium,clear,23,10.68
9.89,low,clear,5,46.75
4.85,low,clear,9,18.75
4.46,low,clear,10,19.96
7.12,medium,clear,15,42.38
2.96,medium,clear,15,15.79
9.55,low,cloudy,23,42.65
8.08,medium,rain,17,66.37
1.8,high,clear,21,12.19
4.76,low,clear,22,19.85
8.91,low,cloudy,23,43.4
9.5,low,cloudy,8,46.76
5.21,medium,clear,20,30.46
6.52,high,rain,18,68.06
2.5,low,clear,1,10.81
9.92,medium,clear,23,54.52
3.09,low,cloudy,0,15.92
9.48,medium,rain,15,71.93
6.85,high,cloudy,21,57.06
6.47,low,clear,17,30.95
5.61,medium,clear,2,30.7
3.08,low,clear,23,15.29
2.59,medium,clear,0,17.46
2.98,low,cloudy,5,10.0
2.68,high,cloudy,18,22.25
8.02,low,cloudy,21,33.95
4.15,high,rain,18,44.21
1.52,low,clear,10,10.0
9.72,medium,rain,7,74.64
8.95,low,cloudy,4,48.15
9.35,high,clear,19,72.1
9.95,low,cloudy,8,47.55
2.57,low,clear,14,14.5
4.57,medium,cloudy,20,25.82
7.82,low,clear,13,32.73
7.26,low,clear,3,28.07
2.39,high,cloudy,23,23.71
8.34,high,cloudy,23,70.85
3.02,low,clear,7,14.91
3.01,high,clear,19,23.63
5.83,medium,clear,16,35.25
6.34,low,clear,1,28.69
6.22,medium,rain,19,51.48
1.82,medium,rain,15,15.12
8.9,high,clear,9,66.87
3.39,low,cloudy,1,16.69
2.17,medium,clear,10,13.24
9.0,low,cloudy,9,44.77
9.6,low,clear,18,40.24
8.76,low,clear,13,36.73
8.29,high,cloudy,10,71.93
6.9,high,clear,8,52.17
5.96,high,cloudy,6,51.32
1.78,medium,cloudy,14,10.0
4.68,low,clear,19,18.11
4.35,low,clear,16,17.89
3.34,low,rain,2,20.6
7.51,low,cloudy,14,35.84
5.46,high,clear,13,44.36
1.73,medium,clear,7,10.48
2.98,low,cloudy,3,18.45
7.15,low,clear,9,32.98
1.69,low,clear,1,10.0
8.66,medium,clear,13,52.77
5.46,high,rain,7,55.46
5.33,medium,cloudy,22,34.76
6.33,high,rain,9,66.24
8.42,medium,cloudy,17,58.47
4.13,low,rain,14,28.9
7.1,low,clear,4,30.47
6.09,high,cloudy,21,50.99
3.4,high,clear,12,26.5
8.91,low,cloudy,17,45.83
8.18,medium,clear,1,47.91
6.93,medium,clear,12,38.49
8.66,medium,rain,13,69.49
8.81,high,rain,9,94.35
7.38,medium,clear,3,45.64
8.53,medium,cloudy,14,55.75
7.28,low,clear,7,31.21
7.12,low,clear,14,33.34
6.57,low,cloudy,13,31.75
7.77,low,clear,20,36.75
2.43,medium,rain,8,24.96
8.93,medium,clear,19,51.52
8.85,low,cloudy,2,45.41
1.26,high,cloudy,14,10.0
8.43,low,clear,23,37.71
2.16,low,clear,16,10.0
4.02,low,cloudy,15,19.51
7.69,low,cloudy,3,42.99
2.45,low,clear,10,10.41
8.36,medium,clear,7,50.08
8.49,medium,clear,2,45.81
5.57,high,clear,18,43.47
1.06,low,clear,13,10.0
3.58,low,clear,8,15.05
6.55,low,cloudy,2,27.4
9.83,medium,cloudy,3,63.18
6.69,low,rain,3,42.18
3.34,high,cloudy,10,29.55
6.71,medium,rain,18,58.98
5.86,medium,clear,15,33.52
8.02,medium,cloudy,22,49.9
1.96,low,rain,21,10.01
7.85,low,cloudy,16,39.25
5.87,low,clear,9,27.37
9.67,medium,cloudy,23,61.14
4.08,low,rain,16,27.26
6.69,low,cloudy,15,34.05
9.39,high,clear,19,71.92
1.92,low,cloudy,21,10.0
9.44,high,rain,5,100.14
7.19,high,clear,6,50.14
1.61,low,cloudy,13,10.0
3.71,low,clear,10,16.75
7.37,low,cloudy,11,36.86
1.61,medium,cloudy,13,11.37
6.24,medium,clear,4,37.28
4.11,high,clear,4,31.22
6.59,high,cloudy,19,55.55
1.41,medium,clear,21,10.0
8.84,low,clear,22,38.61
9.76,low,cloudy,14,48.41
9.72,high,clear,0,72.89
7.75,low,clear,23,36.6
2.17,low,rain,22,12.35
7.82,medium,clear,8,46.18
1.22,medium,clear,2,10.0
1.2,high,cloudy,3,11.59
3.91,medium,cloudy,15,26.96
5.4,low,rain,6,35.41
7.93,high,rain,21,80.72
7.15,low,cloudy,13,37.78
5.01,low,clear,15,25.6
3.46,medium,clear,17,19.28
9.97,low,clear,15,45.34
4.84,medium,clear,15,26.53
5.06,low,cloudy,1,21.15
2.47,medium,cloudy,9,14.42
8.15,low,clear,6,35.59
7.24,high,cloudy,14,60.21
2.99,high,clear,8,20.96
1.74,low,clear,6,10.0
7.12,low,cloudy,23,35.22
6.89,low,clear,15,29.46
3.46,low,clear,2,16.66
9.56,high,clear,16,74.5
2.36,medium,clear,22,18.57
4.89,low,cloudy,7,26.46
9.49,low,rain,1,60.27
4.78,low,clear,19,20.27
6.75,medium,clear,2,40.07
4.58,low,cloudy,7,23.32
3.47,high,rain,1,36.14
9.86,high,clear,18,77.0
4.68,low,clear,16,18.26
9.05,medium,cloudy,4,57.75
3.07,high,cloudy,19,26.95
2.92,medium,clear,16,16.51
1.28,low,cloudy,9,10.0
6.87,low,clear,8,30.64
4.32,high,clear,21,31.38
8.78,medium,clear,5,53.71
5.26,medium,rain,10,41.04
9.71,high,clear,1,74.92
2.67,high,clear,22,21.25
8.82,high,clear,11,65.58
7.99,low,rain,11,50.48
7.94,medium,clear,15,44.63
8.6,medium,clear,21,53.09
7.85,high,clear,23,57.77
6.64,medium,cloudy,11,41.42
2.18,low,clear,20,10.0
1.29,high,clear,17,10.0
9.29,medium,clear,12,57.53
6.55,low,rain,14,42.35
8.17,medium,clear,15,48.08
5.33,low,cloudy,3,25.07
2.06,low,rain,11,14.79
2.13,low,rain,16,11.77
7.17,medium,clear,0,43.53
4.87,medium,rain,21,38.14
2.8,medium,clear,17,15.09
5.42,medium,clear,21,33.22
1.58,high,rain,15,18.65
6.24,low,clear,0,29.27
3.42,low,clear,9,13.29
8.18,high,clear,18,61.68
3.79,low,cloudy,15,19.07
5.1,high,clear,13,37.32
1.1,high,cloudy,1,12.0
1.65,medium,rain,23,10.0
4.53,high,cloudy,5,36.56
5.32,low,clear,21,22.92
6.4,low,rain,22,34.63
3.62,medium,clear,4,18.38
7.25,low,clear,11,33.88
8.74,high,clear,3,66.92
8.02,low,clear,21,39.24
1.36,medium,clear,23,11.05
5.32,medium,clear,3,31.99
1.94,medium,clear,4,11.98
3.18,low,clear,6,14.44
9.88,low,cloudy,5,43.6
2.28,high,cloudy,12,16.4
5.49,low,cloudy,3,27.38
6.56,high,clear,12,51.42
7.32,medium,clear,3,43.4
6.04,high,rain,9,62.9
1.09,medium,clear,19,10.0
3.94,low,rain,0,27.79
5.66,medium,clear,20,34.99
1.79,high,rain,7,21.15
4.16,medium,clear,6,23.22
1.3,high,clear,4,12.1
1.71,medium,cloudy,2,11.3
4.57,low,clear,14,21.59
2.19,low,clear,16,10.59
6.11,high,clear,22,46.5
7.21,low,cloudy,12,33.97
8.21,high,clear,14,62.64
2.8,high,clear,18,23.39
2.51,low,clear,19,10.41
1.94,low,clear,13,10.52
6.73,medium,cloudy,20,44.78
7.36,low,clear,12,32.52
1.28,high,clear,11,12.57
9.43,medium,clear,23,54.45
1.47,medium,clear,22,11.62
5.87,high,clear,8,45.77
7.38,low,clear,2,33.18
8.84,medium,clear,10,49.94
7.43,low,rain,9,46.63
8.22,low,clear,0,36.58
4.06,medium,cloudy,16,23.61
8.33,high,clear,12,63.29
1.72,low,clear,13,10.0
9.05,medium,clear,0,54.11
5.93,medium,clear,1,37.3
8.36,low,rain,1,50.21
5.07,low,rain,6,35.37
6.79,high,cloudy,8,56.88
5.74,medium,cloudy,23,34.99
7.58,medium,clear,3,45.86
1.73,medium,clear,1,10.0
1.54,low,rain,18,10.0
3.22,medium,cloudy,4,19.91
2.44,medium,clear,8,12.64
8.85,medium,clear,23,53.22
2.97,low,clear,12,12.79
9.78,low,rain,11,58.74
4.03,low,clear,18,19.24
2.64,high,clear,8,17.78
8.11,medium,clear,9,45.14
6.93,medium,cloudy,18,46.98
5.48,low,clear,9,22.27
6.0,low,cloudy,11,25.07
7.47,medium,clear,13,44.95
3.06,medium,rain,7,24.45
9.97,medium,cloudy,15,63.72
9.77,low,clear,16,43.34
6.85,medium,clear,19,40.54
2.8,low,clear,3,11.09
7.12,low,clear,5,34.99
1.65,medium,rain,11,10.56
1.28,low,clear,17,10.0
3.32,low,clear,6,16.22
5.16,medium,clear,4,28.67
8.81,medium,clear,9,49.49
7.54,high,rain,5,82.79
7.68,medium,clear,13,42.95
4.83,low,rain,5,29.22
4.11,low,rain,13,27.67
4.34,high,clear,11,33.27
9.89,medium,clear,21,54.26
1.36,medium,rain,11,14.63
8.8,low,clear,7,38.54
6.21,medium,clear,9,35.52
4.95,low,clear,15,22.79
7.53,medium,clear,19,45.3
5.38,high,cloudy,7,49.19
8.86,high,clear,8,64.46
9.11,medium,clear,12,54.95
4.8,medium,rain,19,40.8
3.49,high,cloudy,16,29.09
6.33,medium,clear,18,38.61
9.21,low,cloudy,16,47.46
2.9,medium,clear,6,14.2
6.61,low,cloudy,0,36.22
6.68,medium,clear,19,35.96
7.6,medium,clear,13,42.19
2.18,medium,cloudy,16,13.5
7.44,low,clear,12,37.33
9.18,low,rain,1,57.22
2.62,medium,clear,13,15.26
3.14,high,rain,0,36.49
9.74,medium,rain,4,79.17
2.63,low,clear,6,10.0
8.69,high,cloudy,18,72.29
5.43,high,clear,13,44.28
3.23,low,rain,23,20.49
8.84,low,clear,13,43.64
5.01,medium,cloudy,14,33.72
5.63,high,clear,4,41.78
4.23,high,clear,4,32.46
6.34,high,clear,20,46.79
2.47,medium,clear,23,13.11
4.52,medium,cloudy,1,38.04
9.72,low,cloudy,17,50.15
3.32,low,cloudy,23,18.16
6.91,medium,clear,8,39.18
3.93,medium,clear,9,26.13
7.96,medium,clear,17,48.76
2.18,medium,cloudy,3,17.79
9.73,low,rain,7,64.97
5.08,medium,clear,17,26.76
3.12,low,clear,19,11.82
1.66,medium,clear,16,10.0
2.53,high,cloudy,15,19.4
5.68,medium,cloudy,17,37.2
4.03,high,cloudy,6,32.78
8.46,low,clear,0,42.22
4.88,medium,cloudy,0,35.21
3.24,low,cloudy,17,16.03
6.55,medium,clear,3,42.23
7.36,high,clear,22,59.28
2.5,medium,clear,19,13.72
2.51,high,clear,20,15.18
1.33,low,rain,19,10.0
7.63,high,clear,3,57.08
6.97,low,cloudy,5,34.91
5.27,high,clear,2,40.49
8.6,low,clear,5,38.83
8.25,low,clear,12,38.17
6.27,medium,clear,22,34.25
8.81,high,clear,6,68.22
2.85,low,clear,23,11.95
2.01,low,clear,3,10.0
3.43,high,clear,0,28.15
1.51,low,clear,5,10.0
5.78,low,clear,23,25.45
9.43,medium,clear,4,54.93
1.35,low,rain,12,10.0
2.1,high,clear,18,17.86
5.07,high,cloudy,3,41.22
9.4,medium,clear,23,53.88
3.85,high,cloudy,5,30.98
5.57,medium,clear,12,34.77
1.37,low,rain,4,10.0
2.34,low,clear,12,11.45
9.88,medium,cloudy,9,67.53
9.69,low,clear,2,43.46
1.04,high,clear,22,10.18
9.57,high,cloudy,12,83.87
6.75,low,clear,11,32.43
8.81,medium,clear,3,51.5
5.09,medium,clear,9,31.06
5.64,high,cloudy,2,44.89
5.4,high,rain,16,56.27
7.0,medium,clear,8,39.74
2.26,high,cloudy,0,23.5
1.27,medium,clear,17,10.0
3.77,medium,clear,8,20.4
7.34,low,rain,20,44.15
2.82,low,rain,19,18.89
7.06,medium,cloudy,8,45.72
9.73,low,clear,1,45.96
1.85,low,clear,18,10.0
7.05,medium,clear,15,38.48
4.99,low,clear,2,20.84
8.81,medium,clear,15,54.27
2.59,medium,cloudy,20,16.26
7.23,high,rain,12,79.81
8.54,medium,clear,2,49.66
9.5,low,clear,9,40.81
7.15,medium,rain,21,57.95
5.47,high,clear,17,39.91
6.56,high,cloudy,5,54.07
8.82,medium,clear,5,52.0
6.14,low,clear,17,28.65
1.27,high,rain,5,10.42
9.38,low,clear,5,42.18
7.21,medium,clear,21,41.01
7.09,medium,clear,12,40.18
2.94,low,rain,13,18.79
6.93,low,rain,20,42.56
4.54,low,clear,6,23.19
6.86,medium,clear,12,42.51
1.96,high,cloudy,14,18.86
6.92,low,clear,11,30.15
9.99,high,cloudy,20,82.14
1.43,low,clear,0,10.0
9.79,medium,clear,2,56.97
4.66,low,cloudy,17,21.85
8.84,high,clear,21,65.27
8.04,high,rain,7,86.03
6.1,medium,clear,1,34.88
7.65,high,clear,3,59.9
8.91,medium,rain,17,74.3
4.64,high,clear,12,37.7
3.94,medium,cloudy,14,22.84
7.01,high,clear,1,54.43
8.27,medium,cloudy,9,51.76
7.86,low,cloudy,1,36.47
8.18,medium,clear,20,47.0
4.92,low,cloudy,11,26.49
8.36,medium,cloudy,4,53.05
2.08,medium,clear,11,15.3
5.9,medium,clear,22,35.61
1.05,low,clear,0,10.0
3.92,low,clear,1,19.96
4.3,medium,clear,15,26.05
4.57,high,clear,21,33.1
7.26,low,clear,1,36.39
4.5,medium,cloudy,15,29.48
5.04,medium,clear,19,29.52
3.14,medium,rain,15,24.01
4.36,low,clear,5,21.98
3.05,medium,clear,12,18.88
1.66,low,cloudy,11,10.0
6.43,high,clear,22,48.17
7.01,low,clear,9,33.21
6.58,low,clear,4,31.43
5.17,low,clear,7,21.93
4.42,low,clear,5,17.06
8.77,high,rain,4,95.09
5.67,low,clear,19,22.37
5.31,low,rain,21,33.76
1.23,medium,cloudy,5,10.0
4.07,low,clear,21,20.75
4.42,low,clear,16,19.1
4.59,high,cloudy,5,40.84
6.22,high,rain,16,65.59
5.8,high,clear,4,46.37
6.47,high,clear,22,53.62
7.88,medium,clear,16,43.96
8.32,low,clear,16,38.02
7.46,high,clear,12,62.57
9.6,high,rain,21,102.95
1.16,high,clear,6,10.0
2.76,medium,cloudy,21,19.34
1.07,low,cloudy,20,10.0
6.83,high,clear,5,48.84
9.08,medium,clear,13,55.38
3.19,high,cloudy,15,22.84
9.34,low,rain,2,58.01
1.54,low,cloudy,8,10.04
9.41,low,clear,14,41.63
4.16,high,clear,20,30.44
1.91,low,clear,17,10.35
5.37,low,clear,9,22.46
3.31,high,cloudy,9,25.41
3.56,low,clear,22,16.57
3.77,high,cloudy,2,31.36
8.23,low,clear,0,34.55
5.85,high,cloudy,2,50.5
3.8,medium,rain,4,32.05
6.49,high,clear,6,48.93
7.45,high,rain,2,79.21
3.45,low,clear,3,16.47
4.72,low,clear,16,23.62
2.1,low,rain,2,12.66
2.63,medium,rain,22,22.85
7.13,high,clear,3,55.67
2.63,medium,clear,1,17.14
5.73,medium,cloudy,13,36.95
7.38,low,cloudy,4,34.71
1.96,high,clear,20,14.07
6.11,high,cloudy,1,52.1
3.31,low,clear,14,18.53
9.67,medium,clear,10,55.6
5.35,low,clear,21,25.68
8.25,medium,clear,9,47.61
5.95,medium,rain,19,48.95
1.39,low,clear,0,10.0
6.7,medium,rain,18,56.4
9.56,low,clear,13,40.54
6.41,medium,cloudy,22,40.1
8.37,medium,cloudy,21,56.37
8.96,low,cloudy,13,44.64
3.05,high,cloudy,0,23.37
2.91,medium,clear,8,15.39
6.5,low,rain,16,42.36
4.7,low,cloudy,13,25.25
8.56,high,clear,12,65.52
9.1,high,cloudy,12,81.53
4.18,low,clear,5,20.46
3.13,low,clear,6,13.6
8.02,low,rain,1,48.89
3.47,medium,clear,7,18.35
8.4,low,cloudy,23,42.25
4.81,low,clear,5,20.67
7.01,medium,clear,2,44.36
1.86,medium,clear,17,13.81
6.61,low,clear,17,31.01
5.07,medium,cloudy,21,30.27
6.28,medium,clear,22,35.39
2.51,low,clear,5,13.81
7.63,low,clear,10,33.21
8.77,high,clear,2,69.33
2.95,low,cloudy,15,15.55
1.86,medium,clear,4,10.98
1.21,high,cloudy,23,10.0
6.78,low,rain,21,42.53
6.46,low,cloudy,1,32.36
5.92,medium,cloudy,14,40.16
3.09,high,clear,15,21.87
4.52,high,clear,6,34.05
6.35,medium,rain,15,52.1
5.47,low,cloudy,23,28.4
9.89,medium,cloudy,3,61.83
2.23,medium,cloudy,15,11.72
7.26,medium,clear,16,43.82
4.64,low,clear,1,17.84
4.85,low,cloudy,15,26.58
7.46,high,cloudy,3,62.46
7.23,medium,clear,6,39.2
9.92,low,rain,17,61.54
2.16,low,clear,5,10.48
1.94,high,clear,17,13.78
7.52,medium,rain,6,61.63
6.21,low,cloudy,1,32.22
3.47,low,clear,18,15.21
1.71,low,clear,8,10.0
1.77,high,clear,3,12.94
9.05,medium,cloudy,13,61.07
2.73,medium,clear,4,19.34
3.91,medium,cloudy,6,21.12
3.04,low,rain,7,21.33
4.19,high,cloudy,14,35.76
1.62,medium,clear,18,11.32
5.67,low,cloudy,10,26.97
1.61,low,clear,19,10.0
8.2,medium,clear,22,49.14
3.1,high,clear,3,21.83
5.86,low,clear,17,23.59
8.92,high,rain,13,92.9
6.86,high,clear,5,53.68
5.8,low,clear,15,26.38
3.92,low,rain,17,26.26
4.0,low,clear,0,19.34
7.03,medium,cloudy,7,44.4
9.95,low,clear,0,44.63
6.96,low,clear,0,30.3
6.02,medium,rain,18,48.88
7.58,medium,clear,20,42.41
5.19,low,clear,9,24.14
1.54,medium,clear,17,11.16
6.06,medium,clear,11,33.82
9.62,medium,clear,16,58.84
2.58,high,clear,0,19.96
7.21,low,clear,7,32.93
2.81,high,cloudy,9,20.25
5.82,medium,clear,9,30.43
1.87,medium,clear,17,11.23
5.05,medium,clear,8,31.12
7.81,medium,rain,1,62.62
4.13,low,rain,2,29.36
6.98,medium,cloudy,1,46.39
8.16,medium,rain,5,65.01
9.34,medium,clear,22,54.7
3.11,low,clear,11,18.95
4.59,high,cloudy,21,36.14
2.37,medium,cloudy,18,16.31
9.93,low,clear,14,44.04
9.34,medium,clear,18,56.05
5.86,high,rain,11,65.3
8.58,high,cloudy,17,71.43
5.69,medium,clear,15,35.52
6.61,high,cloudy,1,60.07
1.8,low,clear,10,10.0
7.8,medium,clear,11,47.2
2.15,high,clear,4,15.27
8.43,high,clear,23,64.53
8.04,medium,clear,5,46.68
7.38,high,cloudy,10,63.7
1.33,low,clear,20,10.0
3.73,high,clear,9,28.32
3.37,low,clear,3,18.23
4.24,low,clear,8,22.14
1.79,low,rain,11,12.97
9.43,medium,cloudy,9,59.65
5.98,low,rain,13,36.45
3.75,low,rain,4,22.0
4.57,low,clear,0,22.46
5.02,low,clear,4,20.17
6.41,medium,rain,15,53.85
5.64,medium,rain,4,44.03
9.27,low,cloudy,4,47.53
5.47,medium,cloudy,17,35.23
9.93,high,cloudy,5,86.23
8.66,high,clear,20,68.53
2.88,low,clear,17,15.83
9.38,medium,cloudy,9,63.28
2.05,low,cloudy,14,10.43
8.36,low,clear,23,35.3
4.43,low,clear,21,17.83
8.9,high,clear,10,63.91
8.81,low,clear,18,37.48
8.25,low,rain,12,52.11
8.11,low,clear,19,35.38
3.74,high,clear,2,28.25
1.73,medium,clear,15,11.11
4.63,low,cloudy,6,22.31
2.56,medium,clear,11,12.73
7.25,medium,clear,14,42.31
4.11,medium,clear,7,22.25
9.78,low,clear,22,43.47
6.77,high,clear,16,54.48
8.4,low,clear,0,37.26
2.19,medium,rain,20,21.48
8.76,low,clear,7,42.28
9.3,low,clear,13,40.69
5.38,low,cloudy,9,24.41
6.46,medium,clear,18,37.69
7.88,low,cloudy,7,41.31
2.57,high,clear,18,18.68
5.52,low,clear,3,26.66
4.59,medium,cloudy,9,31.95
2.32,high,rain,22,23.3
4.31,medium,clear,2,23.86
1.61,medium,clear,3,10.84
1.23,medium,clear,15,10.0
2.22,low,rain,23,12.61
9.67,high,rain,3,102.86
5.95,low,clear,19,26.63
9.69,medium,clear,19,53.56
4.89,medium,clear,12,30.14
3.81,low,clear,20,16.19
5.56,low,clear,16,19.45
4.96,medium,clear,22,28.97
1.95,high,cloudy,15,14.93
6.77,high,rain,16,75.88
2.94,medium,rain,5,22.91
6.58,medium,clear,2,36.3
6.85,high,clear,19,53.42
2.37,low,rain,23,13.61
1.55,low,clear,3,10.0
8.03,medium,cloudy,7,52.69
5.14,high,clear,19,37.24
1.52,high,clear,8,10.0
9.95,medium,clear,21,61.66
1.52,low,clear,0,10.0
7.26,medium,cloudy,12,46.19
9.85,low,clear,1,44.32
3.15,low,clear,22,15.19
2.28,high,clear,9,19.39
2.09,low,rain,22,11.66
3.73,high,clear,18,29.27
1.91,medium,clear,16,10.16
7.23,medium,clear,23,41.92
1.56,low,clear,12,10.0
5.58,low,clear,13,25.1
9.97,low,cloudy,10,50.82
8.33,high,clear,9,64.7
6.54,high,clear,6,47.01
3.76,medium,cloudy,9,21.48
6.62,low,clear,23,29.05
5.74,high,clear,0,47.57
4.83,low,clear,13,20.03
2.18,low,clear,2,10.0
8.98,medium,cloudy,12,56.71
5.05,high,cloudy,1,41.39
2.75,low,cloudy,16,13.97
4.31,low,cloudy,20,24.14
4.73,high,clear,2,37.1
8.45,low,clear,14,36.42
7.6,low,clear,7,39.71
7.92,medium,clear,5,46.49
1.1,high,rain,8,10.63
4.75,medium,cloudy,10,33.39
5.33,high,clear,21,39.84
1.17,medium,clear,1,10.17
3.34,low,clear,8,13.29
7.84,high,clear,17,62.84
2.23,medium,clear,18,13.45
5.82,low,clear,21,28.77
2.94,medium,rain,17,27.88
1.11,low,cloudy,4,10.0
3.17,low,clear,17,16.82
9.78,low,clear,11,41.19
8.21,medium,clear,3,45.93
9.64,high,cloudy,14,79.51
5.39,medium,cloudy,10,35.69
1.99,high,rain,18,21.38
5.93,low,clear,4,26.35
5.09,low,cloudy,5,25.49
8.6,low,clear,12,39.88
